Symbol,BaseSymbol,SynSymbol,SciName,CommonName,Family
ABMIP,TRMI6,ABMIP,Abronia micrantha Torr. var. pedunculata M.E. Jones,,Nyctaginaceae
ABNA,ABNA,,Abronia nana S. Watson,dwarf sand verbena,Nyctaginaceae
ABNAH,ABNAH,,Abronia nana S. Watson var. harrisii S.L. Welsh,Harris' dwarf sand verbena,Nyctaginaceae
ABPU2,ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae
ABRA,ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae
ABSA3,ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae
ABTO,ABAN,ABTO,Abronia torreyi Standl.,,Nyctaginaceae
AB2xx,,,Abronia unknown sp.,,Nyctaginaceae
ABAB3,ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae
ABAV,ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae
ABCR2,HECR3,ABCR2,Abutilon crispum (L.) Medik.,,Malvaceae
ABIN,ABIN,,Abutilon incanum (Link) Sweet,pelotazo,Malvaceae
ABINI,ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,,Malvaceae
ABINP,ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,Malvaceae
ABMA3,ABMA3,,Abutilon malacum S. Watson,yellow Indian mallow,Malvaceae
ABMA7,ALHO4,ABMA7,Abutilon marshii Standl.,,Malvaceae
ABUTI,ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae
ABMO2,ABMO2,,Abutilon mollicomum (Willd.) Sweet,Sonoran Indian mallow,Malvaceae
ABPA3,ABPA3,,Abutilon parvulum A. Gray,dwarf Indian mallow,Malvaceae
ABPR4,ABIN,ABPR4,Abutilon pringlei Hochr.,,Malvaceae
ABSO,ABMO2,ABSO,Abutilon sonorae A. Gray,,Malvaceae
ABTH,ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae
AB3xx,,,Abutilon unknown sp.,,Malvaceae
ABWR,ABWR,,Abutilon wrightii A. Gray,Wright's Indian mallow,Malvaceae
ACAN,ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae
ACANC2,ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae
ACANH,ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae
ACANS2,ACSU12,ACANS2,Acacia angustissima (Mill.) Kuntze var. suffrutescens (Rose) Isely,,Fabaceae
ACANT4,ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae
ACCO2,VACO9,ACCO2,Acacia constricta Benth.,,Fabaceae
ACCOC,VACO9,ACCOC,Acacia constricta Benth. var. constricta,,Fabaceae
ACCOP9,VACO9,ACCOP9,Acacia constricta Benth. var. paucispina Wooton & Standl.,,Fabaceae
ACCOV,VAVE,ACCOV,Acacia constricta Benth. var. vernicosa (Standl.) L.D. Benson,,Fabaceae
ACCU,ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae
ACFA,VAFA,ACFA,Acacia farnesiana (L.) Willd.,,Fabaceae
ACFAF2,VAFA,ACFAF2,Acacia farnesiana (L.) Willd. var. farnesiana,,Fabaceae
ACGR,SEGR4,ACGR,Acacia greggii A. Gray,,Fabaceae
ACGRA,SEGR4,ACGRA,Acacia greggii A. Gray var. arizonica Isely,,Fabaceae
ACGRG3,SEGR4,ACGRG3,Acacia greggii A. Gray var. greggii,,Fabaceae
ACHI3,ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae
ACMA,VAMA4,ACMA,Acacia macracantha Humb. & Bonpl. ex Willd.,,Fabaceae
ACMA2,SERO,ACMA2,Acacia malacophylla Benth.,,Fabaceae
ACMI,MAMI9,ACMI,Acacia millefolia S. Watson,,Fabaceae
ACMI4,VAFA,ACMI4,Acacia minuta (M.E. Jones) R.M. Beauch.,,Fabaceae
ACMID,VAFA,ACMID,Acacia minuta (M.E. Jones) R.M. Beauch. ssp. densiflora (Alexander ex Small) R.M. Beauch.,,Fabaceae
ACNE4,VAVE,ACNE4,Acacia neovernicosa Isely,,Fabaceae
ACRO,SERO,ACRO,Acacia roemeriana Scheele,,Fabaceae
ACSM,VAFA,ACSM,Acacia smallii Isely,,Fabaceae
ACTE2,ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae
ACxx,,,Acacia unknown sp.,,Fabaceae
ACVE,VAVE,ACVE,"Acacia vernicosa Standl., nom. illeg.",,Fabaceae
ACAN11,ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae
ACANH2,ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae
ACANT5,ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae
ACACI2,ACACI2,,Acaciella Britton & Rose,,Fabaceae
ACHI4,ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae
ACSU12,ACSU12,,Acaciella suffrutescens Britton & Rose,prairie acacia,Fabaceae
AC2xx,,,Acaciella unknown sp.,,Fabaceae
AC3xx,,,Acaciopsis unknown sp.,,Fabaceae
ACVE8,VAVE,ACVE8,Acaciopsis vernicosa Britton & Rose,,Fabaceae
ACCA8,ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae
ACALY,ACALY,,Acalypha L.,copperleaf,Euphorbiaceae
ACLI,ACPH3,ACLI,Acalypha lindheimeri Müll. Arg.,,Euphorbiaceae
ACLIM,ACPH3,ACLIM,Acalypha lindheimeri Müll. Arg. var. major Pax & K. Hoffm.,,Euphorbiaceae
ACNE,ACNE,,Acalypha neomexicana Müll. Arg.,New Mexico copperleaf,Euphorbiaceae
ACOS,ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae
ACPH3,ACPH3,,Acalypha phleoides Cav.,shrubby copperleaf,Euphorbiaceae
AC4xx,,,Acalypha unknown sp.,,Euphorbiaceae
ACSE5,ERSE2,ACSE5,Acamptoclados sessilispicus (Buckley) Nash,,Poaceae
AC5xx,,,Acamptoclados unknown sp.,,Poaceae
AC6xx,,,Acanthochiton unknown sp.,,Amaranthaceae
ACWR6,AMAC,ACWR6,Acanthochiton wrightii Torr.,,Amaranthaceae
ACSP5,XASP2,ACSP5,Acanthoxanthium spinosum (L.) Fourr.,,Asteraceae
AC7xx,,,Acanthoxanthium unknown sp.,,Asteraceae
ACARO2,ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae
AC8xx,,,Acarospora unknown sp.,,Acarosporaceae
ACBR,ACGRS,ACBR,Acer brachypterum Wooton & Standl.,,Aceraceae
ACDA2,ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae
ACGL,ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae
ACGLN,ACGLN2,ACGLN,Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray,,Aceraceae
ACGLG2,ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae
ACGLN2,ACGLN2,,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Aceraceae
ACGLP,ACGLN2,ACGLP,Acer glabrum Torr. var. parviflorum A.E. Murray,,Aceraceae
ACGLT3,ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae
ACGLT4,ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae
ACGR3,ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae
ACGRB,ACGRS,ACGRB,Acer grandidentatum Nutt. var. brachypterum (Wooton & Standl.) Palmer,,Aceraceae
ACGRG,ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae
ACGRS,ACGRS,,Acer grandidentatum Nutt. var. sinuosum (Rehder) Little,canyon maple,Aceraceae
ACIN3,ACNEI2,ACIN3,Acer interius Britton,,Aceraceae
ACER,ACER,,Acer L.,maple,Aceraceae
ACNE2,ACNE2,,Acer negundo L.,boxelder,Aceraceae
ACNEI,ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae
ACNEL,ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae
ACNEA,ACNEA,,Acer negundo L. var. arizonicum Sarg.,Arizona boxelder,Aceraceae
ACNEI2,ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder maple,Aceraceae
ACNET,ACNET,,Acer negundo L. var. texanum Pax,ashleaf maple,Aceraceae
ACNE6,ACGLN2,ACNE6,Acer neomexicanum Greene,,Aceraceae
ACSA2,ACSA2,,Acer saccharinum L.,silver maple,Aceraceae
ACSAL3,ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae
ACSAW,ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae
ACSAB,ACGRS,ACSAB,Acer saccharum Marshall ssp. brachypterum (Wooton & Standl.) A.E. Murray,,Aceraceae
ACSAG2,ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Aceraceae
ACSAG3,ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Aceraceae
ACSAS3,ACGRS,ACSAS3,Acer saccharum Marshall var. sinuosum (Rehder) Sarg.,,Aceraceae
ACSI3,ACGRS,ACSI3,Acer sinuosum Rehder,,Aceraceae
ACTR3,ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae
AC9xx,,,Acer unknown sp.,,Aceraceae
ACAU5,ASEN,ACAU5,Acerates auriculata Engelm. ex Torr.,,Asclepiadaceae
AC10xx,,,Acerates unknown sp.,,Asclepiadaceae
ACVI4,ASVI,ACVI4,Acerates viridiflora (Raf.) Pursh ex Eaton,,Asclepiadaceae
ACVII,ASVI,ACVII,Acerates viridiflora (Raf.) Pursh ex Eaton var. ivesii Britton,,Asclepiadaceae
ACVIL,ASVI,ACVIL,Acerates viridiflora (Raf.) Pursh ex Eaton var. linearis A. Gray,,Asclepiadaceae
ACOB3,RUOB,ACOB3,Acetosa oblongifolia (L.) Á. Löve & D. Löve,,Polygonaceae
AC11xx,,,Acetosa unknown sp.,,Polygonaceae
ACAC5,RUAC3,ACAC5,"Acetosella acetosella (L.) Small, nom. inval.",,Polygonaceae
ACCO7,OXCO,ACCO7,Acetosella corniculata (L.) Kuntze,,Oxalidaceae
ACTE3,RUAC3,ACTE3,Acetosella tenuifolia (Wallr.) Á. Löve,,Polygonaceae
AC12xx,,,Acetosella unknown sp.,,Oxalidaceae
ACVU,RUAC3,ACVU,Acetosella vulgaris Fourr.,,Polygonaceae
ACCH3,ERVE13,ACCH3,Achaetogeron chihuahuensis Larsen,,Asteraceae
AC13xx,,,Achaetogeron unknown sp.,,Asteraceae
ACVE7,ERVE13,ACVE7,Achaetogeron versicolor Greenm.,,Asteraceae
ACAL11,ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,Asteraceae
ACAN7,ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae
ACAS2,ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae
ACER2,ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae
ACFU,ACMIA,ACFU,Achillea fusca Rydb.,,Asteraceae
ACGR5,ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae
ACHIL,ACHIL,,Achillea L.,yarrow,Asteraceae
ACLA5,ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae
ACLAA,ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,Asteraceae
ACLAT,ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae
ACLAA2,ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,Asteraceae
ACLAA3,ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae
ACLAE,ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae
ACLA3,ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae
ACMI2,ACMI2,,Achillea millefolium L.,yarrow (common),Asteraceae
ACMIL,ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae
ACMIO2,ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae
ACMIP5,ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae
ACMIA,ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae
ACMIA4,ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae
ACMIF,ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,Asteraceae
ACMIG2,ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae
ACMIL3,ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae
ACMIO,ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae
ACMIR,ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae
ACMIR2,ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae
ACOC,ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae
ACRO4,ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae
ACSU3,ACMIA,ACSU3,Achillea subalpina Greene,,Asteraceae
ACTO3,ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae
AC14xx,,,Achillea unknown sp.,,Asteraceae
ACBL,ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],Bloomer ricegrass,Poaceae
ACAR14,ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,Poaceae
ACCU6,ACCU6,,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe needlegrass,Poaceae
ACEM4,ACEM4,,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,Poaceae
ACHY,ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae
ACLE9,ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Poaceae
ACLO7,ACLO7,,Achnatherum lobatum (Swallen) Barkworth,little awn needlegrass,Poaceae
ACNE9,ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae
ACNED,ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,COLUMBIA NEEDLEGRASS,Poaceae
ACNEN2,ACNEN2,,Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii,Columbia needlegrass,Poaceae
ACNED2,ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,,Poaceae
ACHNA,ACHNA,,Achnatherum P. Beauv.,needlegrass spp.,Poaceae
ACPE13,ACPE13,,Achnatherum perplexum Hoge & Barkworth,New Mexico needlegrass,Poaceae
ACPI2,ACPI2,,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass,Poaceae
ACRO7,ACRO7,,Achnatherum robustum (Vasey) Barkworth,sleepygrass,Poaceae
ACSC11,ACSC11,,Achnatherum scribneri (Vasey) Barkworth,Scribner needlegrass,Poaceae
ACSP12,ACSP12,,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass,Poaceae
AC15xx,,,Achnatherum unknown sp.,,Poaceae
ACPE3,ALCA5,ACPE3,Achyranthes peploides (Humb. & Bonpl. ex Schult.) Britton & P. Wilson,,Amaranthaceae
AC16xx,,,Achyranthes unknown sp.,,Amaranthaceae
ACRO2,PIROR,ACRO2,Achyrophorus roseus Less.,,Asteraceae
AC17xx,,,Achyrophorus unknown sp.,,Asteraceae
ACLEI,ACLEI,,Acleisanthes A. Gray,trumpets,Nyctaginaceae
ACDI11,SEDI3,ACDI11,Acleisanthes diffusus (A. Gray) R.A. Levin,,Nyctaginaceae
ACLO2,ACLO2,,Acleisanthes longiflora A. Gray,angel's trumpets,Nyctaginaceae
AC18xx,,,Acleisanthes unknown sp.,,Nyctaginaceae
ACAL5,AMTU,ACAL5,Acnida altissima (Riddell) Moq. ex Standl.,,Amaranthaceae
ACALP,AMTU,ACALP,Acnida altissima (Riddell) Moq. ex Standl. var. prostrata (Uline & Bray) Fernald,,Amaranthaceae
ACALS,AMTU,ACALS,Acnida altissima (Riddell) Moq. ex Standl. var. subnuda (S. Watson) Fernald,,Amaranthaceae
ACCO8,AMTU,ACCO8,Acnida concatenata (Moq.) Small,,Amaranthaceae
ACSU,AMTU,ACSU,Acnida subnuda (S. Watson) Standl.,,Amaranthaceae
ACTAP,AMTU,ACTAP,Acnida tamariscina (Nutt.) Alph. Wood var. prostrata Uline & Bray,,Amaranthaceae
ACTA,AMTU,ACTA,Acnida tamariscina auct. non (Nutt.) Alph. Wood,,Amaranthaceae
ACTU,AMTU,ACTU,Acnida tuberculata Moq.,,Amaranthaceae
AC19xx,,,Acnida unknown sp.,,Amaranthaceae
ACROT,GEROT,ACROT,Acomastylis rossii (R. Br.) Greene ssp. turbinata (Rydb.) W.A. Weber,,Rosaceae
AC20xx,,,Acomastylis unknown sp.,,Rosaceae
ACCO4,ACCO4,,Aconitum columbianum Nutt.,monkshood (columbian),Ranunculaceae
ACCOC3,ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae
ACCOP,ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae
ACCOB,ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae
ACCOO,ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae
ACGE3,ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae
ACONI,ACONI,,Aconitum L.,monkshood,Ranunculaceae
ACLE6,ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae
ACMO3,ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae
AC21xx,,,Aconitum unknown sp.,,Ranunculaceae
ACDI3,CEDI3,ACDI3,Acosta diffusa (Lam.) Soják,,Asteraceae
ACMA9,CESTM,ACMA9,Acosta maculosa auct. non (Lam.) Holub,,Asteraceae
AC22xx,,,Acosta unknown sp.,,Asteraceae
ACOUR,ACOUR,,Acourtia D. Don,desertpeony,Asteraceae
ACNA2,ACNA2,,Acourtia nana (A. Gray) Reveal & R.M. King,desert holly,Asteraceae
ACTH,ACTH,,Acourtia thurberi (A. Gray) Reveal & R.M. King,Thurber's desertpeony,Asteraceae
AC23xx,,,Acourtia unknown sp.,,Asteraceae
ACWR5,ACWR5,,Acourtia wrightii (A. Gray) Reveal & R.M. King,brownfoot,Asteraceae
ACAL10,MEAL6,ACAL10,Acrolasia albicaulis (Hook.) Rydb.,,Loasaceae
ACGR16,MEAL6,ACGR16,Acrolasia gracilis Rydb.,,Loasaceae
ACHU3,MEHUH,ACHU3,Acrolasia humilis Osterh.,,Loasaceae
ACMO5,MEMO4,ACMO5,Acrolasia montana Davidson,,Loasaceae
ACTH2,MEHUH,ACTH2,Acrolasia thompsonii (Glad.) W.A. Weber,,Loasaceae
AC24xx,,,Acrolasia unknown sp.,,Loasaceae
ACROP,ACROP,,Acroptilon Cass.,hardheads,Asteraceae
ACRE3,ACRE3,,Acroptilon repens (L.) DC.,hardheads,Asteraceae
AC25xx,,,Acroptilon unknown sp.,,Asteraceae
ACAR7,ACRUA8,ACAR7,Actaea arguta Nutt.,,Ranunculaceae
ACARV,ACRUA8,ACARV,Actaea arguta Nutt. var. viridiflora (Greene) Tidestr.,,Ranunculaceae
ACTAE,ACTAE,,Actaea L.,baneberry,Ranunculaceae
ACRU2,ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae
ACRUA8,ACRUA8,,Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén,red baneberry,Ranunculaceae
ACRUA,ACRUA8,ACRUA,Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson,,Ranunculaceae
ACSPA,ACRUA8,ACSPA,Actaea spicata L. var. arguta (Nutt.) Torr.,,Ranunculaceae
AC26xx,,,Actaea unknown sp.,,Ranunculaceae
ACAC2,TEACA2,ACAC2,Actinea acaulis (Pursh) Spreng.,,Asteraceae
ACACA,TEACA,ACACA,Actinea acaulis (Pursh) Spreng. var. arizonica (Greene) S.F. Blake,,Asteraceae
ACRI3,HYRIR,ACRI3,Actinea richardsonii (Hook.) Kuntze,,Asteraceae
AC27xx,,,Actinea unknown sp.,,Asteraceae
ACVA2,HYVA,ACVA2,Actinea vaseyi (A. Gray) Kuntze,,Asteraceae
ACAC3,TEACA2,ACAC3,Actinella acaulis (Pursh) Nutt.,,Asteraceae
ACAR4,TEAR4,ACAR4,Actinella argentea A. Gray,,Asteraceae
ACRIF,HYRIF,ACRIF,Actinella richardsonii (Hook.) Nutt. var. floribunda A. Gray,,Asteraceae
AC28xx,,,Actinella unknown sp.,,Asteraceae
ACLO4,VELO,ACLO4,Actinomeris longifolia A. Gray,,Asteraceae
AC29xx,,,Actinomeris unknown sp.,,Asteraceae
ACIL2,DEIL,ACIL2,Acuan illinoense (Michx.) Kuntze,,Fabaceae
AC30xx,,,Acuan unknown sp.,,Fabaceae
ADLE,LILEL2,ADLE,Adenolinum lewisii (Pursh) Á. Löve & D. Löve,,Linaceae
ADPR,LIPR,ADPR,Adenolinum pratense (Norton) W.A. Weber,,Linaceae
ADxx,,,Adenolinum unknown sp.,,Linaceae
ADENO5,ADENO5,,Adenophyllum Pers.,dogweed,Asteraceae
AD2xx,,,Adenophyllum unknown sp.,,Asteraceae
ADWR,ADWR,,Adenophyllum wrightii A. Gray,Wright's dogweed,Asteraceae
ADDI2,JUPI5,ADDI2,Adhatoda dipteracantha Nees,,Acanthaceae
AD3xx,,,Adhatoda unknown sp.,,Acanthaceae
ADCA,ADCA,,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae
ADCAM,ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,,Pteridaceae
ADCAP,ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,,Pteridaceae
ADIAN,ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae
ADMO2,ADCA,ADMO2,Adiantum modestum Underw.,,Pteridaceae
AD4xx,,,Adiantum unknown sp.,,Pteridaceae
ADIN,ADIN,,Adolphia infesta (Kunth) Meisn.,junco,Rhamnaceae
ADOLP,ADOLP,,Adolphia Meisn.,prickbush,Rhamnaceae
AD5xx,,,Adolphia unknown sp.,,Rhamnaceae
